"question","answer","category","tier"
"What is a variable in Python?","A name that stores a value so you can use it later, like x = 5.","Python","1"
"What is a data type?","The kind of value something is, such as integer, string, list, or boolean.","Python","1"
"What is an integer in Python?","A whole number without a decimal point, like 5 or -12, written as type int.","Python","1"
"What is a float in Python?","A number with a decimal point, like 3.14, used for measurements and fractions.","Python","1"
"What is a string in Python?","A sequence of text characters wrapped in quotes, like 'hello'.","Python","1"
"What is a boolean?","A value that is either True or False, used to make decisions in code.","Python","1"
"What is None in Python?","A special value meaning no value or nothing, often the default when a function returns nothing.","Python","1"
"What is a list in Python?","An ordered, changeable collection of items in square brackets, like [1, 2, 3].","Python","1"
"What is a tuple?","An ordered collection like a list, but immutable, written with parentheses like (1, 2).","Python","1"
"What is a dictionary in Python?","A collection of key-value pairs in curly braces, where you look up values by key.","Python","1"
"What is a set in Python?","An unordered collection of unique items, useful for removing duplicates and fast membership checks.","Python","1"
"What does mutable vs immutable mean?","Mutable objects like lists can be changed after creation; immutable ones like strings and tuples cannot.","Python","1"
"What is indexing?","Accessing one item by its position, starting at 0, like my_list[0] for the first item.","Python","1"
"What does a negative index like -1 do?","It counts from the end of the sequence, so my_list[-1] gives the last item.","Python","1"
"What is slicing?","Getting a sub-section of a list or string with start and end positions, like text[0:3].","Python","1"
"What does len() do?","Returns the number of items in a list, string, dictionary, or other collection.","Python","1"
"What does append() do?","Adds one item to the end of a list, changing the list in place.","Python","1"
"What does the in operator do?","Checks whether a value exists inside a collection, returning True or False.","Python","1"
"What is a for loop?","A loop that runs once for each item in a collection, like for item in my_list.","Python","1"
"What is a while loop?","A loop that keeps running as long as its condition stays True.","Python","1"
"What does range() do?","Generates a sequence of numbers, commonly used to run a loop a set number of times.","Python","1"
"What does break do in a loop?","Immediately exits the loop, skipping any remaining iterations.","Python","1"
"What does continue do in a loop?","Skips the rest of the current iteration and jumps straight to the next one.","Python","1"
"What does if/elif/else do?","Runs different blocks of code depending on which condition is True.","Python","1"
"What is a ternary expression?","A one-line if-else that picks a value, like x = 'yes' if ok else 'no'.","Python","1"
"What is the difference between = and ==?","Single equals assigns a value to a variable; double equals compares two values for equality.","Python","1"
"What is an f-string?","A string with f before the quotes that inserts variables inside curly braces, like f'Hi {name}'.","Python","1"
"What does the split() string method do?","Breaks a string into a list of pieces, splitting on spaces or a separator you give.","Python","1"
"What does join() do?","Combines a list of strings into one string with a separator, like ', '.join(names).","Python","1"
"What does strip() do?","Removes whitespace or given characters from the start and end of a string.","Python","1"
"What do lower() and upper() do?","Return a copy of a string converted to all lowercase or all uppercase.","Python","1"
"What does replace() do on a string?","Returns a new string with all occurrences of one substring swapped for another.","Python","1"
"What does startswith() do?","Checks if a string begins with a given substring, returning True or False.","Python","1"
"What is a function?","A named, reusable block of code that takes inputs, does something, and can return a result.","Python","1"
"What is the difference between a parameter and an argument?","A parameter is the variable named in the function definition; an argument is the actual value passed in.","Python","1"
"What does return do?","Sends a value back from a function to whoever called it and ends the function.","Python","1"
"What is a default parameter value?","A fallback value used when the caller does not pass that argument, like def greet(name='friend').","Python","1"
"What does *args mean?","It lets a function accept any number of extra positional arguments, collected into a tuple.","Python","1"
"What does **kwargs mean?","It lets a function accept any number of extra keyword arguments, collected into a dictionary.","Python","1"
"What is a keyword argument?","An argument passed by name, like greet(name='Sam'), which makes calls clearer and order-independent.","Python","1"
"What is a lambda?","A small anonymous one-line function, often used for quick things like sort keys.","Python","1"
"What is variable scope?","Where a variable can be seen: local inside a function, or global across the whole file.","Python","1"
"What is a docstring?","A string right under a function or class definition that documents what it does.","Python","1"
"What is a type hint?","An optional annotation showing expected types, like def add(a: int) -> int, helping readability and tooling.","Python","1"
"What is type conversion (casting)?","Changing a value from one type to another, like int('5') turning a string into a number.","Python","1"
"What is a list comprehension?","A compact way to build a list from a loop in one line, like [x * 2 for x in nums].","Python","1"
"What is a dictionary comprehension?","A compact way to build a dictionary in one line, like {k: v for k, v in pairs}.","Python","1"
"What does enumerate() do?","Loops over a collection while also giving you each item's index number.","Python","1"
"What does zip() do?","Pairs up items from two or more collections so you can loop over them together.","Python","1"
"What is the difference between sorted() and .sort()?","sorted() returns a new sorted list; .sort() sorts the original list in place and returns None.","Python","1"
"What does dict.get() do?","Looks up a key and returns its value, or a default instead of an error if missing.","Python","1"
"What do .keys(), .values(), and .items() do?","They let you loop over a dictionary's keys, its values, or its key-value pairs.","Python","1"
"What is try/except?","A way to handle errors: try runs risky code, except catches the error so the program keeps running.","Python","1"
"What is an exception?","An error raised while a program runs, like ValueError, which crashes the program unless handled.","Python","1"
"What does raise do?","Deliberately triggers an exception yourself, used to signal that something went wrong.","Python","1"
"What does finally do?","Runs its block no matter what, whether an error happened or not, often for cleanup.","Python","1"
"What are KeyError and ValueError?","Common exceptions: KeyError means a missing dictionary key; ValueError means a value with invalid content.","Python","1"
"What is a module?","A single Python file whose functions and variables you can import into other code.","Python","1"
"What is a package?","A folder of related modules that you can install or import as a unit.","Python","1"
"What does import do?","Loads another module or library so you can use its functions in your code.","Python","1"
"What does from x import y do?","Imports just one specific function or class from a module, so you can use it directly by name.","Python","1"
"What does if __name__ == '__main__' do?","Runs that code only when the file is executed directly, not when it is imported.","Python","1"
"What is pip?","Python's package installer, used to download libraries from PyPI, like pip install requests.","Python","1"
